yc,xc1,xc2,tc1,tc2,tc3
474.22,27.22,74.58,8.18,5.72,2.92
427.17,26.62,75.58,8.18,5.72,2.92
365.51,26.32,76.58,8.18,5.72,2.92
286.26,26.03,78.75,8.18,5.72,2.92
215.34,25.84,78.83,8.18,5.72,2.92
157.06,25.8,76.83,7.59,7.24,2.7
121.48,25.62,77.17,7.59,7.24,2.7
103.24,25.32,79.17,7.59,7.24,2.7
103.24,25.03,81.17,7.59,7.24,2.7
98.55,24.73,83.17,7.59,7.24,2.7
106.29,24.42,85.17,7.59,7.24,2.7
133.48,24.12,87.17,7.59,7.24,2.7
167.68,23.82,89.17,7.59,7.24,2.7
142.21,23.99,89.42,7.59,7.24,2.7
110.03,24.67,86.67,7.59,7.24,2.7
123.56,25.23,84.42,7.59,7.24,2.7
161.74,25.92,81.67,7.59,7.24,2.7
178.75,26.42,79.42,7.59,7.24,2.7
212.41,26.91,76.08,7.59,7.24,2.7
267.24,27.43,73.42,7.59,7.24,2.7
348.76,27.66,75.33,7.59,7.24,2.7
500.45,28.28,72.92,7.59,7.24,2.7
555.67,28.35,70.58,7.59,7.24,2.7
566.63,27.92,72.75,7.59,7.24,2.7
518.28,27.22,74.58,7.59,7.24,2.7
467.43,26.62,75.58,7.59,7.24,2.7
402.23,26.32,76.58,7.59,7.24,2.7
317.36,26.03,78.75,7.59,7.24,2.7
242.91,25.84,78.83,7.59,7.24,2.7
153.13,25.8,76.83,6.83,7.17,2.5
117.97,25.62,77.17,6.83,7.17,2.5
100.93,25.32,79.17,6.83,7.17,2.5
100.93,25.03,81.17,6.83,7.17,2.5
96.28,24.73,83.17,6.83,7.17,2.5
104.1,24.42,85.17,6.83,7.17,2.5
129.84,24.12,87.17,6.83,7.17,2.5
161.04,23.82,89.17,6.83,7.17,2.5
136.7,23.99,89.42,6.83,7.17,2.5
106.61,24.67,86.67,6.83,7.17,2.5
116.94,25.23,84.42,6.83,7.17,2.5
159.38,25.92,81.67,6.83,7.17,2.5
178.8,26.42,79.42,6.83,7.17,2.5
214.83,26.91,76.08,6.83,7.17,2.5
272.65,27.43,73.42,6.83,7.17,2.5
357.59,27.66,75.33,6.83,7.17,2.5
514.47,28.28,72.92,6.83,7.17,2.5
566.08,28.35,70.58,6.83,7.17,2.5
573.7,27.92,72.75,6.83,7.17,2.5
519.1,27.22,74.58,6.83,7.17,2.5
462.11,26.62,75.58,6.83,7.17,2.5
394.46,26.32,76.58,6.83,7.17,2.5
309.84,26.03,78.75,6.83,7.17,2.5
236.98,25.84,78.83,6.83,7.17,2.5
151.83,25.8,76.83,9.34,6.23,2.61
112.86,25.62,77.17,9.34,6.23,2.61
96.02,25.32,79.17,9.34,6.23,2.61
96.02,25.03,81.17,9.34,6.23,2.61
91.98,24.73,83.17,9.34,6.23,2.61
98.04,24.42,85.17,9.34,6.23,2.61
