yf,xf1,xf2
143.62,25.8,76.83
109.34,25.63,77.17
95.08,25.33,79.17
95.08,25.03,81.17
90.93,24.73,83.17
97.5,24.43,85.17
123.77,24.13,87.17
159.02,23.83,89.17
134.83,23.99,89.42
103.03,24.67,86.67
107.19,25.23,84.42
143.47,25.93,81.67
161.26,26.42,79.42
193.31,26.91,76.08
245.43,27.43,73.42
325.55,27.66,75.33
468.93,28.28,72.92
522.19,28.35,70.58
533.4,27.93,72.75
488.99,27.22,74.58
442.05,26.63,75.58
379.99,26.33,76.58
299,26.03,78.75
226.94,25.84,78.83
